person_id,why_think_pid_with_when,prob_machine_generated,n_tokens,glimpse_criterion
US:188436735,"I believe all people deserve the benefit of a competent government, not just the rich and elite who can pay for it.",0.64,24,-0.619219240855451
US:115442519,"Equality for all; help those who need it, but without giving them things for nothing",0.3,17,-2.993239993365041
US:140242283,Low taxes freedom,0.37,3,-7.880659143132398
US:188501541,The Democratic Party's focus on equity and justice aligns with my core values.,0.75,16,-0.0023171487537616557
US:170396695,"I take a more liberal position on key things like gun policy, abortion, immigration, etc. I think the government should step in more to help the population",0.68,31,-0.3795831193453592
US:101669325,I feel like I agree with what they stand for,0.3,10,-2.922089370201078
US:108028501,Because I don't like any republican candidates,0.24,8,-4.070889175746971
US:186891765,I DON'T THINK AND ACT LIKE A CROOK.,0.39,12,-2.072134260689903
US:672977,"Democrats are dishonest and socialist; republicans are lazy and ineffectual, constantly giving the Democrats more power.",0.24,22,-4.00875860864983
US:187630747,Because democrats are not selfish,0.22,6,-5.158220955449406
US:40246084,I grew up in a republican household.,0.65,8,-0.5550450800330419
US:4638263,Because I find good in both parties,0.22,7,-4.586371867221703
US:2563039,I care about more than money,0.47,6,-1.5676814168550497
US:176224,The Democratic Party has gone Socialist !,0.27,7,-3.3338795134350487
US:26619647,"Business, right way, military",0.28,6,-6.916492582361336
US:186895145,Believe in the constitution not interpretations that fit other ideas,0.23,11,-5.729270380609676
US:31505686,Democrats do much more for the people. Republicans work for the wealthy and don't seem to care at all for anyone without money. The rich get richer at the expense of those without money. Their taxes should be greatly increased. It wouldn't affect their standard of living one iota.,0.32,56,-2.7583979364148887
US:3089805,"I consider myself center, or slightly left of center on the majority of the issues. The majority of Republicans don't support my options on the majority of issues. This is especially true today with the MAGA extreme right, especially on social issues.",0.31,49,-2.8114364261752547
US:172820435,Republicans are more geared towards people,0.24,6,-3.890585617800892
US:36497032,I believe in Democracy not autocracy,0.3,7,-2.940838152861245
US:2876445,Don't remember,0.33,3,-2.651686822563693
US:40594036,Because I know ZERO about politics,0.24,6,-4.02171096393902
US:32967718,"I hate the two party system, but have always been more progressive",0.52,13,-1.2451306430606908
US:141524063,I don't agree with Democratic policies,0.29,7,-3.091913900415096
US:2273805,"I believe in a strong public sector along with a strong, well regulated, private sector.",0.61,18,-0.7665760661086773
US:39409256,"Their policies support more people's needs, especially the weak and vulnerable",0.29,13,-3.086546193742086
US:28233243,"I'm not hateful like a Republican, nor am I greedy or a liar. I am more humane as a Democrat, and if it takes some of my tax money going to social programs so be it.",0.3,41,-2.9025705066188494
US:46130737,I am someone who wants to fight for the people,0.75,10,-0.007940162473473296
US:1215825,I’m working class and former Union member,0.31,8,-2.825082269497901
US:40642036,The Republicans seem to be more aligned with what their constituents want!,0.46,13,-1.6253731049404676
US:135088049,It is a party that generally speaks and forms/establish the policies that have a positive impact on the lives of/for all Americans.,0.27,27,-3.356160775867898
US:197366017,I am more of the middle of the road,0.62,9,-0.733111267809461
US:3164502,A lot of their beliefs coincide with what I believe in. This is very important to me.,0.71,19,-0.24398045188837153
US:963660,"In general, they come closest to the way I believe the country should be run.",0.43,17,-1.7987326017577845
US:106791941,Because the democrats are out of touch with reality,0.42,10,-1.8811225174184585
US:33759408,I don't,0.65,3,-0.5692865985612702
US:41792194,I believe in freedoms of choice,0.39,6,-2.0995221915774196
US:153975485,I do not think of myself as a Democrat.,0.6,10,-0.7991880556532722
US:42677366,"I am a believer in the America first agenda, to shrink the size of our bloated government, eliminate the waste in government and adjust the tariffs on every country so that we are making money every day rather than losing millions on trade daily.",0.3,48,-2.9022538265234985
US:4515565,Because there are only two viable political parties and the GOP have proven to be aganst everything the US Constitution says and stands for.,0.33,26,-2.6501318229502977
US:3141918,They most closely align with my beliefs,0.33,7,-2.6327502891380044
US:32546137,"I hold to a view that our nation needs to get back to Biblical values. A nation that murders a million babies a year for the sake of anything goes, and no morality will be judged by God. We need to make God and His word our standard. The republican party is closer the that mindset than the democratic party is.",0.39,66,-2.079708631987172
US:166973633,I believe that it's the party that helps people no matter what and I have the same conviction,0.35,19,-2.434490407925307
US:188253815,"When I first voted, I leaned more towards democratic views. And still do today.",0.32,17,-2.752092112620174
US:206097593,"I decide on which party will benefit me, my family and future best",0.22,14,-5.175115011355601
US:163440249,Boring,0.65,2,-0.5564339057907864
US:134351069,Because a friend of mine was a republican ward leader and he convinced me to change from democrat to republican,0.33,20,-2.5981674584381427
US:27926123,My ideals align with the progressive democrats an everything and almost nothing in agreement with the republican policies,0.22,19,-5.2757310613067405
US:25459674,Donald Trump is evil and deranged. I cannot support a political party that supports Trump.,0.37,18,-2.2195341573476526
US:40624657,I believe Democrats are more liberal and responsive to peoples needs and wants.,0.32,14,-2.677332447478786
US:1184762,"I still share many of the core values of the republican party, but disagree with how they implemented.",0.34,20,-2.557702088572744
US:4278761,Because we think what is best for everyone not just the upper class,0.25,13,-3.7750513217557984
US:177983087,I have never agreed with the GOP economic strategy or their conservative policies.,0.33,14,-2.6175505287082212
US:45726052,Fiscal conservatism outweighed social liberalism in relevant legilaslation because social rights laws historically have not been voted on in modern history.,0.25,27,-6.524212044173989
US:169123083,I really don't care about politics,0.61,7,-0.7800354718101753
US:146206817,I think the Democratic platform is more empathetic to those who are not white wealthy males.,0.52,18,-1.2623993762894186
US:130887335,"I am a bit conservative, but do not think of myself as a strong Republican. I try to focus on issues, not parties",0.86,26,0.7303581295968324
US:2631103,"Because I don't think we should be giving taxpayer dollars to the whole world. I don't know who decided we are the protectors of the world. Money going everywhere else could be spend her to fix our roads, highways and everything else that's falling apart. I pay more for my health care now that I'm retired than when I worked with less funds. Why can't I get mine for free too.",0.23,83,-4.255100692361608
US:28202945,I think both sides have good and bad points and I have voted for both parties,0.72,16,-0.17613977238147277
US:189290073,after following the news and discussing thing over with friends. getlots of opinion and see what all the3 current issues are and the more republicans i talked to the more i felt a part of them,0.22,40,-5.146281097272441
US:2734679,For the people,0.6,3,-0.8018226209710947
US:170432149,I trust more of what republicans do than democrats. Republicans take care of the issues while democrats say they will but never do,0.32,27,-2.7364099895354674
US:3196180,I am certainly not a MAGA republican,0.36,8,-2.338042297150583
US:183489953,"I do not take political sides. I choose the issues that are important to me, regardless of which party they are connected to. I don't agree with everything about either party.",0.8,36,0.3053767993304381
US:1154473,Donald Trump,0.47,2,-1.5799181480345033
US:140100201,Because the Democrat party had gone off the rails.,0.3,10,-2.902476062545668
US:1499899,I believe in what the party used to stand for and mostly stands for now.,0.25,16,-3.725749144799212
US:4291466,Don't care for neither,0.25,5,-3.766829595988632
US:615551,I'm a progressive Democrat. Conservatives are reactionary and backward.,0.47,12,-1.5706179228117798
US:167984309,none,0.38,1,-8.00808747740049
US:22084835,Republican Party maintain the morals and principles that I believe in.,0.3,12,-2.9665508815701878
US:2969762,"Democrats more closely mirror my opinions on abortion, climate change, gun restrictions, etc.",0.28,17,-3.1937330330710125
US:3191371,"I believe in smaller government, free market economy, less regulation, States rights, right to bare arms, conservative values.",0.35,24,-2.44891577461192
US:108983179,"Because I believe in America freedom for all , freedom of speech freedom to do what you want when you want. That's the right for American which other take advantage off.",0.22,34,-5.052902784530756
US:3167039,"I am closer to the republicans because it appears that there no moderate democrats. Only progressives that, as Obama said, want to fundamentally change the country. I’m not a globalist.",0.33,39,-2.6062156667127248
US:2730631,"Because I believe in Law and Order, I believe in capitalism, I believe conservative values make for a stronger nation and a stronger family, I believe in a strong military, I believe in FREE SPEECH, I believe the government has no business in getting in the peoples business, I believe in the right to own and bear arms, I do not believe the government has any right to HIDE anything from the people, I believe people succeed because they work hard, not because the government gives free handouts.",0.47,101,-1.5331074753051104
US:137003893,"Because I care about democracy, rule of law, and equality for all Americans including marginalized groups.",0.24,19,-3.830961164758661
US:37668963,I vote for the same thing as Democrats,0.41,8,-1.9322315045317675
US:131632537,I feel Democrat shows more empathy and love.,0.22,9,-5.305700473615655
US:700171,I vote for the best person for the job regardless of party,0.71,12,-0.2640399872490944
US:137855943,I have a good memory of our political history.,0.76,10,0.01850463468036435
US:3744133,They seem to be the most conservative and have moral values in line with mine. They are not crazy like the Democrats.,0.73,24,-0.13953833110244956
US:143918667,"The Democratic Party is for poor people. Also, the Democrats has more class than the Republicans. Republicans are mean spirited and voted to put a Convicted Felon Criminal in the White House. I truly believe that most Republicans are Racist. USAID was helping poor countries and now I heard on TV last night that people are starving.",0.23,67,-4.206528363949813
US:31254056,I agree much more with the Democrats.,0.37,8,-2.2483453071654056
US:1984612,family tradition,0.29,2,-7.108057795137013
US:29442981,"Sometimes I wonder, except that the democrat party is off the rails nutty and have no coherent or logical policy - I'm more a republican by default since I tend to be conservative.",0.23,37,-4.259690064247947
US:101985793,"I am for equal rights and protections for everyone, the rule of law, free trade, inclusion, voting rights, pro choice, democracy, separation of church and state, coequal branches of government, public education etc",0.28,43,-3.1649847212193607
US:169798611,Because democrats sound like socialists,0.22,7,-5.688175310859519
US:1316518,"The Democratic Party has historically been the party which proposed and implemented major positive changes. Think Social Security, Wagner Act, the Federal Reserve System, Marshall Plan, Affordable Health Care Act, Troubled Asset Relief Program (TARP). To this day, the Republican Party is solely dedicated to tearing down these good things with no replacement in mind.",0.27,67,-3.2844110855285145
US:39928608,Republicans only care about the rich and corporations,0.57,8,-0.9786825800537897
US:170195089,I used to agree with the majority of issues Republicans represented ...this is not the case since Trump became president,0.23,21,-4.403707863762041
US:22972579,Democrats are more willing to help the everyday person who needs help.,0.37,13,-2.21806644015518
US:138550513,I believe in their platform especially social reforms,0.24,8,-6.126067957332976
US:807523,I claim the Republican label in order to be able to vote republican in primaries. Not a maga-moron.,0.22,23,-4.752039987098102
US:2746020,Republicans are upholding constitution,0.22,5,-5.02220921300127
US:4425732,the democrats are way too liberal and think higher taxes will solve all problems. Instead of making people WORK for what they want they just want the richer people who work to pay for those that are too lazy to work,0.35,43,-2.4015398659744065
US:193132985,I am socially liberal. I consider the Republican Party (I was a member for 30 years) to be an extension of a fascist MAGA now.,0.3,31,-2.8916597627898284
US:156714487,I oppose the social engineering that the Democrats have always tried to do.,0.54,14,-1.1271648207470606
US:4541344,I believe that everyone should be considered as equal and freedom of speech is necessary. I do not believe that people with billons of dollars should be given the right to treat those of lesser income so blatantly horrible.,0.36,42,-2.2987091293834574
US:3666980,"I dont believe in the way Democrats want to make the country into a Socialistic state. Example, California ran by Gavin Newsom Mandates laws and the courts agree with him, but if a Republican did the same thing, the Left Wing Activist Courts would strike down the mandates as they are Unconstitutional.",0.34,62,-2.46927219699307
US:4392477,I have. Few more morals and ethics than most democrats.,0.23,13,-4.118830954886636
US:1277139,"The democrats of today have shifted way too far to the left. They are no longer liberals, but authoritarian communists.",0.75,25,-0.02340177110039242
US:28818021,conservitive,0.47,3,-8.617227365064956
US:101523499,They are for the good of all people not just the rich,0.72,12,-0.20402952365939273
US:913969,they generally align more with my beliefs,0.24,7,-3.985064172149794
US:116835999,Don't like either party,0.31,5,-2.8635514059821636
US:185480379,feel caged into choosing between D or R,0.24,9,-6.207473903514829
US:200175807,"America First, border wall, strong economy, American energy",0.3,11,-2.941647853766952
US:579431,The Democratic party is not what my parents knew it to be. The Republicans are more in tuned with all Americans,0.32,22,-2.6661353548966065
US:30002325,Conservative,0.35,2,-2.4603725794151234
US:22392855,"Agree with trying to keep taxes down, encourage people to work for benefits and more of their policies then the tax, spend and give away democrats.",0.22,31,-4.716981774751335
US:39459886,I could NEVER be a Republican. Their moral integrity is too low for my liking.,0.53,17,-1.191803603140284
US:2816387,"Because they used to be conservative, not so much now.",0.47,12,-1.5808051962589795
US:197403395,gaza,0.22,2,-4.576564312971636
US:178817805,"I would like smaller government, more control in the states and I would like to put America first above all other countries",0.33,23,-2.592789348022245
US:4603326,there are parts about both partys i can agree with,0.22,11,-4.926656814447567
US:163090299,Because we stand for the real people,0.28,7,-3.1423609350950215
US:3173735,Instinct and my personal feelings.,0.28,7,-3.1750667420459897
US:24708581,Democrats reflect my values and protect our rights,0.24,8,-6.2123366925947066
US:182600119,I believe the constitution should be upheld and respected.,0.65,10,-0.5827147385070587
US:1284947,Common sense governing,0.23,3,-5.992386731274167
US:120778421,"empathy, caring, free speech for all, equality for all.",0.38,15,-2.172854359406896
US:765554,Strong and undertanding,0.24,4,-6.244119473002327
US:1961133,Their values are somewhat close to mine,0.39,7,-2.07774072183996
US:179994321,I believe in preserving Religious beliefs. I am Pro-Life. I believe in closed borders. I believe in Made In American. I believe America needs to be healthy again. I believe children are not being given a great education due to teacher's unions. I believe the DOE wastes money on school offices and does not use it in the classroom. I believe the military is not able to handle a conflict at this time and our military is fat. I believe China should not own any businesses or land in the USA. I believe that the legal people in the USA should run the USA and congress needs to listen to us. I believe that there was cheating in 2020 election. I work the polls and notice how easy it was to cheat.,0.22,148,-4.756761654086492
US:187618805,Agree with more but not all things democrats do,0.23,11,-4.443603433751053
US:2143683,"I am for America first agenda, fair trade and legal immigration. I am a capitalist not a socialist. I don't believe in DEI and I want low taxes",0.32,33,-2.6683583683875063
US:1612035,"I vote Republican. I do not favor the way the Democrats are woke, and do not fight for the American people.",0.4,24,-2.0531291207983617
US:41596731,That's my choice of whom I am.,0.3,9,-2.9796283902649248
US:134436719,More closely align with my values,0.29,6,-3.058871315300049
US:45692238,Because I don’t agree with republicans point of views,0.22,11,-5.438077725215514
US:36454902,i do not fell closer to either side,0.23,8,-4.173235880026551
US:169740087,because democrats failed the American people,0.22,7,-4.700776762804038
US:194533309,I never discuss politics,0.38,4,-2.147445615384016
US:121333755,Democracy defends my right as an American.,0.25,9,-3.6446758586292964
US:2963081,Republican leaders have gotten so spineless and corrupt.,0.25,10,-3.730469742832301
US:1981471,"Its based on truth and reality,,and honor",0.3,9,-7.166313118701137
US:823426,because i hate biden,0.22,5,-5.0415448072242635
US:128546897,I pick who I think k is right for the middle class,0.24,12,-3.9026857295833484
US:1402446,"The GOP model is a disaster, failing to put emphasis on what will make people prosper. Money for education, HC and building infrastructure that is conducive for growth. Cutting taxes is not the solution. YOU need to tax ALL people all the way to the top.",0.22,52,-4.483378981588223
US:2491549,Long history with the party and core values continue to wear well with time.,0.25,15,-3.7812520514563546
US:126861069,"I think of myself a a republican because I agree with republican beliefs of strong economy, strong military, strong national security and catholic values.",0.34,27,-2.5142446700093455
US:3130390,They fight for justice for all citizens,0.36,7,-2.3527544527025532
US:2539584,Democrats are more open minded and law abiding.,0.29,10,-3.0459429564968756
US:3086877,"Because I sided, based on my life experiences to be more progressive and charitable in my perspective",0.22,18,-4.594031518266773
US:11291,"I worked in social services my whole life, it relies on government funding",0.24,14,-3.827387487405971
US:27378582,like dislike some of both their platforms,0.3,7,-7.220922503847524
US:41902300,Because the Democrats are out of touch with real people,0.3,10,-2.9569167918863837
US:132450979,"I am a JFK, Bill Clinton democrat.",0.28,9,-3.2288419385145057
US:4202712,"I am Republican because I believe in freedom of thought, morality and law and order.",0.34,17,-2.5253155590646124
US:158694127,Believe in most of the issues they support.,0.28,10,-3.1384731764357476
US:22954833,I stand for the constitution of the United States,0.76,9,0.06150349620318058
US:32974396,Because I’m for freedom,0.25,5,-3.669755552482665
US:543159,"I am what at one-time would have been called a Henry Jackson Democrat. So, sometimes the far-left Progressives drive me a bit crazy but being a Democrat aligns with my core values.",0.22,39,-5.187030457945638
US:27926155,It’s a party of the working people,0.47,8,-1.5602699741955357
US:877476,I am fiscally conservative and would like the economy to approve,0.35,13,-2.4433892941639823
US:29767816,Traditional parties no longer serve national needs,0.22,7,-5.072126040367102
US:139642321,Because of the assassination of Dr Martin Luther King Jr. I disagreed with my father’s political choices. Decided I would never vote republican.,0.26,28,-3.5327710174329057
US:138645977,Because Democrats care more about everyday Americans and their needs. Republicans seen to only care about rich people and helping them.,0.24,23,-3.8413610550000685
US:2073015,I found the Republican party closer to my religious beliefs.,0.28,11,-3.2334950279374364
US:107505357,dont trust either party,0.23,4,-5.900102087541909
US:27393269,Christian,0.22,1,-5.114092712709276
US:494406,common sense,0.22,2,-4.544617602399087
US:2413449,"Because Republicans always seem to protect and follow the Constitution, and compared to Democrats, have much more common sense",0.24,21,-3.9932503575415326
US:27126759,"I was raised in a Republican family of self employed individuals. In the past, the Republicans supported small business and entrepreneurs. Not so much anymore.",0.66,29,-0.5231549892398853
US:27502692,My values don't align with the uniparty.,0.38,11,-2.1871117344101885
US:174507183,It was chosen for me,0.34,5,-2.5592419342806
US:130529895,I care about the good of the all rather than my own interests or that of oligarchs,0.28,18,-3.2428420932785005
US:165213033,Because the Democrats are crazy.,0.24,6,-4.020896912406424
US:131661457,The values of the Dem party seem to me to be for the vast majority of America’s population not just for the wealthy. I think I am an FDR Democrat at heart.,0.58,36,-0.9423180534941489
US:323056,My community,0.31,2,-2.780904120339832
US:28437669,They treat people the best,0.22,5,-5.077563476438306
US:203285677,Democrats are crooks,0.22,4,-5.367406421212286
US:185519765,They seem to believe more in fairness and equal opportunities for all and not just the richest.,0.44,18,-1.7394952182502503
US:39128355,They for the most part always look out for the best interests of the working men and women of America.,0.54,21,-1.1559420062890748
US:2018206,Parents/Community were strong democrats.,0.41,8,-8.203958463054125
US:4277067,Cuz I'm not whiny I don't get offended,0.39,12,-2.11987462420967
US:3654093,I dont understand politics at all. Politicians all lie so it is hard to believe anything.,0.34,19,-2.524414639318022
US:181358225,Neither party represents my values because they are both govwrnmed by monied interests,0.28,17,-3.2585325188044396
US:4170926,"I believe in making sure people have equal rights, equal access to medical care, that government should leave women's bodies alone, that insurance companies should not be allowed to deny coverage based on pre-existing conditions, that no one is above the law, that a felon cannot be elected President, that we work in harmony with nations around the world to battle climate change.",0.43,72,-1.7875733301597403
US:168833811,I'm not stupid and can think for myself.,0.54,10,-1.1335837037983827
US:184157461,They seem to have the better idea and plans for running the government.,0.39,14,-2.098494592339106
US:26203425,I find the Republicans are more willing to do what's right for the country and not just for themselves and their families.,0.74,24,-0.06429567199213285
US:198182127,"I don't identify with people who are self-serving, only out for themselves and to heck with others. Who are megalomaniacs which today, it seems, that the large majority of Republicans are, oh yes, also, all are cowards",0.23,51,-4.204073289281392
US:1119444,They are much more fiscally and socially conservative than the radicals currently running the democratic party,0.45,18,-1.690028728301376
US:167802817,i cared about people,0.22,4,-4.852133647286493
US:153956491,just do,0.22,2,-5.242451139047592
US:18856,I am conservative,0.34,3,-2.4884944830943816
US:677956,I believe demand drives the economy.,0.33,7,-2.6493632434789576
US:41010027,I agree more with the republicans,0.34,7,-2.4793543425951583
US:134422429,Conservative,0.35,2,-2.4603725794151234
US:59809,There are further working people and try to make the economy better,0.24,12,-3.9195737176186367
US:192591025,"I am for smaller government, more freedoms, and less government in my pocket.",0.7,16,-0.29333640422602586
US:2326398,"Because I care about other people, the planet, and the future of this nation. Republicans have drunk the KoolAid and are just evil.",0.34,30,-2.511802350829755
US:32073022,Because they're two wings of the same bird,0.32,9,-2.7631245474343533
US:25027018,I am very conservative,0.46,4,-1.611215067869732
US:41039581,I believe in smaller government and the policies of for the people,0.43,12,-1.8180251871955142
US:40502040,Freedom,0.23,1,-4.309834217354992
US:876484,The party of common sense and fiscal responsibility,0.59,8,-0.8569996211195007
US:168640605,They were for the working-class an progressive at one point,0.22,11,-4.996637941413385
US:40439279,There’s nothing about the Democratic Party that I agree with or support,0.51,13,-1.3164080281711992
US:4214353,"I value the rule of law, respect for science, respectful discussions, protecting free speech, the environment, the climate and personal free speech",0.23,27,-4.134628154393665
US:4718846,"it respects the rule of the law, respects people",0.35,10,-2.3891666738753834
US:4053981,"they are for all of the things I believe in - abortion, equality, inclusion, diversity, gun control, women's rights",0.43,25,-1.7913143036491097
US:120197945,Prefer their choices,0.22,4,-4.636580675675038
US:1462956,Because I choose who I vote for based on my research,0.24,11,-4.018089460152692
US:192997559,"They policies are closer to my beliefs.equality,freedom and looking out for the middle and low class",0.28,21,-6.946100895159069
US:134467757,Because the Democrats and the majority of the republican party was destroying our country. I like low taxes and not letting our government waste our tax dollars.,0.29,29,-3.1093967872048673
US:40746030,Democrats are for improving the lives of people who are not rich.,0.7,13,-0.3173950767083425
US:123356213,I agree with their views,0.45,5,-1.7063434449145265
US:41598263,Believe more of what they fight for,0.22,8,-4.7786667798862235
US:119723801,I dont think i am close to either party,0.25,9,-3.7078088208491677
US:2335511,The GQP was already to radical for me.,0.22,10,-4.9855602550106095
US:40026978,Na,0.23,1,-4.162653026504952
US:141374753,"lower taxes, less regulation, religious rights, protection of women in sports, immigration",0.24,16,-3.8777642525323186
US:4505860,I'm more oriented in small federal government principles as described by our Founders.,0.28,16,-6.9000107597858165
US:192892423,Because I care.,0.26,4,-3.5656579525009455
US:2280205,It’s more like the Republicans have pushed me to the Democrats,0.41,12,-1.9297193165624538
US:3075231,"I have a strong moral compass and base my choices on facts, not shifting feelings.",0.67,17,-0.437478813494397
US:2709302,"I guess they're somewhat less harmful than the Republican Party, but really I don't like them.",0.55,20,-1.0830320016082504
US:2827179,The majority of both houses don't follow desires of the people. Concerned with themselves or THE party.,0.23,21,-6.038434083697422
US:25877219,I believe everyone should be treated equally & the rich should pay much more in taxes.,0.55,17,-1.105766643122876
US:3188763,"I think generally whether you are a Democrat, Republican or Independent it is genic . I am happy as a Democrat and share their views",0.23,27,-4.3227506489812555
US:1128263,We can't afford the democrats to be in power.,0.7,12,-0.2999039623522482
US:147006233,no comment,0.22,2,-4.992776093219854
US:160119163,"I believe in a woman’s right to choose, racial justice, government programs to help the poor and the elderly, taxing the wealth.",0.38,27,-2.1829602398015817
US:29137695,"I care about the marginalized and vulnerable, helping others, and moving society forward",0.48,15,-1.466127901158095
US:134654857,No comments.,0.31,3,-2.838385032152955
US:752140,I think of myself as a Democrat because I believe in that they stand for,0.55,15,-1.073597869575882
US:188768029,I agree with a lot of the social issues,0.55,9,-1.1071087613862534
US:41837329,I believe in helping others and supporting social justice causes.,0.72,11,-0.1728374428016988
US:108085039,Democrats are concerned about the rights of people.,0.57,9,-0.9554881122089297
US:1536058,at this time I am appalled at actions taken by democrats in the last 8 yrs & would not change back to a registered democrat,0.22,28,-4.740839202391288
US:30889178,"Because when I saw Barack Obama and his values, it made me want to be better and do better as a whole for the country, it made me want everybody to be able to get along to have unity in this country",0.25,44,-3.7345866966807315
US:38150523,It's the only ethical party choice. Republicans have completely lost their way.,0.37,15,-2.2909643829182387
US:2606768,"I have watched all of the corrupt things that the republicans have none to help the rich, and not the poor.",0.36,24,-2.3598942690196147
US:112322401,For the work people the poor and needed people,0.23,9,-5.811461422955335
US:197042513,Morals,0.29,2,-3.015515159389572
US:40429605,my parents are democrats and we always boo'd the republican floats when they went by in the parades.,0.24,22,-3.940762191002665
US:191074421,"There is a genuine desire to help people and make a better nation, even if they aren't in agreement as to what that looks like and how to do it. A commitment to avoid doing evil goes a long way in my book.",0.35,47,-2.3959563130852892
US:206879589,Because their principles align so much with mine,0.23,8,-4.1218726912222765
US:40749114,"Because I believe in God and my country was founded by the principal s and laws and the good book, the Bible!! We fought for our freedom and lost many lives to make the US free. I'm a believer!!",0.22,44,-4.539054320019424
US:2970581,The answer to this is included in the above answer,0.55,10,-1.1153422526190917
US:200185177,Active,0.26,1,-3.5663784557777
US:482788,I want to deport illegals not support them. I support the police and don’t want them defunded. I want criminals in jail not roaming the streets. I want violent protesters in jail. Democrats support the exact opposite things than I do. They are wasting money flying to El Salvador visiting an illegal gang member. Democrats definitely don’t care about America or Americans.,0.28,73,-3.257147559163984
US:134900403,I align more with their beliefs,0.27,6,-3.3251222790773896
US:3448310,They look at for people,0.24,5,-3.848601644163471
US:29677730,The positions of the Democratic Party are in agreement with mine far more often than Republican Party positions.,0.57,19,-0.997927483502062
US:39571860,Because the other option is to have Trump,0.41,8,-1.9111908242030822
US:144423357,They are the better option,0.63,5,-0.6840610756474764
US:41902346,Democrats are out of touch,0.5,5,-1.367561194102783
US:193479349,Because it fits my ideas and values.,0.27,8,-3.42109357402037
US:1202726,because democrats went too far left in their goals,0.22,10,-4.593420316154963
US:4542405,I agree with more of the Republican planform than the Democrats,0.24,12,-4.058361536019297
US:155971683,Cuz I'm more conservative and definitely not liberal!,0.32,11,-2.707086646028375
US:194036659,"The democrats favor socialsism,communism, marxism and try to destroy our country with their policies",0.28,24,-3.168898652781487
US:148223427,I am a Democrat because we believe in actual freedom and individual rights. The Republican party has forgotten what individual freedom is and done everything they can to restrict freedom of choice and ignore established law.,0.41,38,-1.9757537474143934
US:166176695,Because of the policies of that party,0.32,7,-2.7223428433556482
US:163192995,"America was good. Growing up, I loved this country so much and had immense pride. After what the democrats have done- our country is crime ridden, and debilitated to a point that I fear it's irreversible, and we are going to crumble like many other empires have.",0.22,60,-4.630136814109952
US:2760647,Because they’re a better choice than the alternative,0.58,9,-0.9175511007099751
US:194929215,"If it doesn't make sense, there's a reason. Any President that doesn't have an America first agenda shouldn't be President",0.43,26,-1.8321682774174612
US:39890684,Can't say,0.33,3,-2.580308351631101
US:188063509,Government exists to protect its people and give them opportunities to thrive in the US.,0.41,16,-1.9341026335206812
US:194191991,Not sure,0.38,2,-2.1874984942408053
US:23655346,"Because that is the party I am registered as. I register in a party so I can vote in primaries and also when I used to live in New York there were often no Republican primaries so I felt I could participate more in the political process by being a Democrat, and I didn't change my party after moving because I didn't feel any more aligned with the Republicans than I do with Democrats.",0.53,79,-1.174589815964025
US:35751182,I didn't agree with the democrats views on most issues and I do not like where the party is at anymore. I agree mostly with the views and beliefs of the Republican party. The better align with my feelings and beliefs.,0.28,46,-3.1955412570877275
US:29769192,I just want to be left alone and the government to have little to zero influence in my life. That’s what freedom is.,0.63,26,-0.6757264427560341
US:3520768,Both parties need to have TERM LIMITs. These life long politicians are all crooks. They have dirt on both sides.,0.23,25,-4.287687630168887
US:31154189,Believe in republicans actions and government beliefs,0.27,9,-6.788400040066572
US:2907015,The importance of freedom of speech and having strong national security,0.49,11,-1.4579350680617997
US:25185204,"I value freedom, fairness, equal rights, and supporting the middle class people.",0.34,16,-2.5375954482883585
US:41013035,The Democrats have proven throughout history to be the side promoting and protecting the worst aspects of human nature.,0.49,20,-1.4122484329972362
US:27586924,I support moral values and god and country,0.23,8,-4.325079820171761
US:121261917,"Republicans are mostly an anti-party, against too many things I believe in and too often just vote to oppose Democrats not to accomplish anything positive or helpful.",0.23,30,-4.2016819718388945
US:198997249,I am in moderate in my politics and feel the Democratic Party represents those interests and policies.,0.23,18,-4.356919271001023
US:27796750,It's the party of sanity.,0.34,7,-2.5101266148060413
US:23312295,The Democrats are completely insane.,0.64,6,-0.6000236176912329
US:4661069,Always had a more liberal slant toward social issues,0.25,10,-3.6629107570307924
US:125711769,Because they value the same things I do,0.5,8,-1.3837196717411833
US:133089909,"I believe in caring for people, free speech, minority rights",0.34,12,-2.4849431558898156
US:121586369,"I believe that the government should stay out of our personal business. Democrats just want to take more of our money to spend on their pet projects that are just wasteful. Government should follow the constitution, protect US Citizens and our border. Put America First!!!",0.4,51,-1.9951047953393688
US:4180727,When republicans put Donald trump up I knew my values didn’t align,0.24,14,-6.1294321837337336
US:2601198,I agree with general Democratic focus of helping people Succeed and live Healthy lives.,0.22,16,-4.949319071321156
US:183230147,The Democrats are utterly incompetent and evil. They live in a fantasy world and want ultimate control. Republicans for all their flaw like freedom.,0.24,27,-3.901694539641202
US:133669761,"Sometimes the views of Democrats are ridiculous as also in Republicans, so I’m split in the middle",0.22,19,-5.313315039389687
US:1823459,Democrats want to force people to agree with their policies and seek to punish anyone who disagrees. Republicans generally want fewer laws and federal government controls over private lives and property.,0.39,33,-2.0626900421661256
US:33204863,"They align more with the direction I believe this country should go. Democrats have gone so far to the radical left that I cannot support them. They have no clear plans, only criticism and obsession with ridiculous agendas. They want and defend illegal criminal aliens.",0.25,50,-3.735779490789394
US:173586335,"B/c I like all people , I want democracy, I understand history, I’m a critical thinker",0.27,20,-3.2735737051688445
